name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
NYC,2022-09-01,85.7,69.9,77.2,82.8,69.9,76.5,48.9,38.8,0,0,0,,0,0,25.3,12.8,300.6,1013.2,3.5,9.8,264,22.7,9,10,2022-09-01T06:23:02,2022-09-01T19:28:18,0.19,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,F1417,72503014732"
NYC,2022-09-02,78.5,63,70.1,78.5,63,70.1,51.8,52.7,0,0,0,,0,0,19.2,9,52.3,1023.2,10.1,9.9,266.9,22.8,9,10,2022-09-02T06:24:00,2022-09-02T19:26:41,0.22,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-03,80.6,65.8,72.5,81.1,65.8,72.6,59.7,65.2,0,0,0,,0,0,16.1,7.2,102.3,1024.2,28,9.9,216.6,18.5,8,10,2022-09-03T06:24:59,2022-09-03T19:25:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-04,89.1,72.3,78.2,90.3,72.3,78.9,65.2,65.6,0,0,0,,0,0,13,9.2,217.9,1019.6,56,9.9,178.8,15.5,6,60,2022-09-04T06:25:57,2022-09-04T19:23:26,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,F1417,72503014732"
NYC,2022-09-05,86.3,74,78,87.2,74,78.6,67.7,71.9,0.015,100,4.17,rain,0,0,21.9,13.9,169.4,1018.1,64.7,9.7,201.2,17.3,8,30,2022-09-05T06:26:55,2022-09-05T19:21:48,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-06,74.2,67.5,71.2,74.2,67.5,71.2,68,89.5,0.788,100,70.83,rain,0,0,25.3,9.9,67.8,1015.9,96.4,5.7,24.3,2,1,10,2022-09-06T06:27:54,2022-09-06T19:20:09,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
NYC,2022-09-07,72.3,65.5,68.7,72.3,65.5,68.7,61.6,78.8,0,0,0,,0,0,26.8,12.8,49.1,1015.4,96.2,9.1,62.6,5.4,3,10,2022-09-07T06:28:52,2022-09-07T19:18:30,0.4,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-08,77.5,65.3,70.4,77.5,65.3,70.4,57,63.3,0,0,0,,0,0,20.8,8.5,48.9,1013.2,53.4,9.9,234.4,20.2,9,10,2022-09-08T06:29:51,2022-09-08T19:16:50,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,F1417,72503014732"
NYC,2022-09-09,79.2,63.3,70.6,79.2,63.3,70.6,54.3,59.4,0,0,0,,0,0,19.7,9.5,46.5,1017.7,5.8,9.9,240.9,20.6,8,10,2022-09-09T06:30:49,2022-09-09T19:15:10,0.47,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-10,85.7,65.8,74.1,82.7,65.8,73.6,55.1,55.3,0,0,0,,0,0,14.8,6.2,239.5,1022.9,14,9.9,244.5,21.1,9,10,2022-09-10T06:31:48,2022-09-10T19:13:30,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-11,75.5,67.1,71.5,75.5,67.1,71.5,63.6,76.7,0.169,100,41.67,rain,0,0,13.6,6.9,149.6,1019.9,79.8,8.2,58.7,5.1,2,10,2022-09-11T06:32:46,2022-09-11T19:11:50,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
NYC,2022-09-12,80.7,68,73.3,83,68,73.5,67.1,81.9,0.439,100,29.17,rain,0,0,13.2,5.9,57.4,1010.7,80.6,7.2,183.2,15.9,9,30,2022-09-12T06:33:44,2022-09-12T19:10:09,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-13,82.4,70.6,75.4,85.9,70.6,75.9,66.2,75.5,1.085,100,33.33,rain,0,0,28.9,11.4,262.3,1007.4,77.6,8,117.7,10.2,5,60,2022-09-13T06:34:43,2022-09-13T19:08:28,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-14,79.3,63.5,72,79.3,63.5,72,54.3,54.4,0,0,0,,0,0,24.2,9.3,289.4,1013.4,11.5,9.9,239.9,20.7,8,10,2022-09-14T06:35:41,2022-09-14T19:06:47,0.64,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-15,74.5,64.4,69.4,74.5,64.4,69.4,47.3,46.8,0,0,0,,0,0,26.4,19.7,331.1,1020,12.5,9.9,246.1,21.4,9,10,2022-09-15T06:36:40,2022-09-15T19:05:06,0.67,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
NYC,2022-09-16,75.2,57.8,66.3,75.2,57.8,66.3,43.3,45,0,0,0,,0,0,12.8,5.9,345.2,1021.8,18.2,9.9,224.7,19.5,8,10,2022-09-16T06:37:39,2022-09-16T19:03:24,0.7,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
